vendor_id,name_en,chain_name_en,vertical_class,vertical,main_cuisine
729491,"Coffee Bean and Tea Leaf,Agouza",Coffee Bean and Tea Leaf,food,food,Coffee & Tea
726489,"Turkish Coffee Cafe,Stadium Area",Turkish Coffee Cafe,food,food,Coffee & Tea
748155,"COFFEE GATE, Tagammoa 5 - Banks Center",COFFEE GATE,food,food,Coffee & Tea
616964,"peony cafe,Tagammoa 5 - South Investors",Peony Cafe,food,food,Coffee & Tea
724278,"Via Caffe, Camp Chezar",Via Caffe,food,food,Coffee & Tea
712664,"loretto,Roushdy",loretto,food,food,Coffee & Tea
721338,"Horus, Haram - Omraniya",Horus Brazilian Coffee,food,food,Coffee & Tea
719220,"soltan el hawawshi el askandrane,Haram",Soltan El Hawawshi El Askandrane,food,food,Street Food
721749,"Elsharkawy 5th Settlement,Tagammoa 5 - 90 St. Companies",Elsharkawy 5th Settlement,food,food,Street Food
724822,"Masmat Zain El Abedeen,Hadayeq El Maadi",Masmat Zain El Abedeen,food,food,Street Food
709965,"Beit Ward, Zamalek - Abo El Feda",Beit Ward,food,food,Lebanese
709970,"Beit Ward, Tagammoa 5 - West Arabella",Beit Ward,food,food,Lebanese
709967,"Beit Ward, Dokki - El Thawra Square",Beit Ward,food,food,Lebanese
709968,"Beit Ward, Heliopolis - Ismailia Square",Beit Ward,food,food,Lebanese
615989,Saj W Man2oucheh - New Maadi - Degla,Saj W Man2oucheh,food,food,Lebanese
711426,"The Lebanese Bakery, Maadi Old",The Lebanese Bakery,food,food,Lebanese
706425,"zahrat lebnan,Zahraa El Maadi - El Me'arag El Ouloy",Zahrat Lebnan,food,food,Lebanese
609520,"Abd El Wahab, Zamalek - mariott",Abd El Wahab,food,food,Lebanese
612379,"Ayadina, Point 90",Ayadina,food,food,Lebanese
612378,"Ayadina, Heliopolis - Korba",Ayadina,food,food,Lebanese
612382,"Ayadina, Mostafa Kamel",Ayadina,food,food,Lebanese
